"filename", "language", "C", "C++", "JSON", "Markdown", "Makefile", "comment", "blank", "total"
"/media/guille/KINGSTON/GPacks/ZynkVM/.conduitpkg/entries.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"/media/guille/KINGSTON/GPacks/ZynkVM/.conduitpkg/installed.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"/media/guille/KINGSTON/GPacks/ZynkVM/.conduitpkg/list.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"/media/guille/KINGSTON/GPacks/ZynkVM/.conduitpkg/sysarena/README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1
"/media/guille/KINGSTON/GPacks/ZynkVM/.conduitpkg/sysarena/package.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 12
"/media/guille/KINGSTON/GPacks/ZynkVM/.conduitpkg/sysarena/src/Makefile", "Makefile", 0, 0, 0, 0, 26, 0, 15, 41
"/media/guille/KINGSTON/GPacks/ZynkVM/.conduitpkg/sysarena/src/include/sysarena.h", "C++", 0, 30, 0, 0, 0, 18, 21, 69
"/media/guille/KINGSTON/GPacks/ZynkVM/.conduitpkg/sysarena/src/include/types.h", "C++", 0, 25, 0, 0, 0, 21, 11, 57
"/media/guille/KINGSTON/GPacks/ZynkVM/.conduitpkg/sysarena/src/src/sysarena.c", "C", 127, 0, 0, 0, 0, 14, 16, 157
"/media/guille/KINGSTON/GPacks/ZynkVM/CONTRIBUTING.md", "Markdown", 0, 0, 0, 1, 0, 0, 2, 3
"/media/guille/KINGSTON/GPacks/ZynkVM/Makefile", "Makefile", 0, 0, 0, 0, 19, 3, 7, 29
"/media/guille/KINGSTON/GPacks/ZynkVM/README.md", "Markdown", 0, 0, 0, 12, 0, 0, 7, 19
"/media/guille/KINGSTON/GPacks/ZynkVM/docs/EN.md", "Markdown", 0, 0, 0, 116, 0, 0, 33, 149
"/media/guille/KINGSTON/GPacks/ZynkVM/docs/ES.md", "Markdown", 0, 0, 0, 115, 0, 0, 27, 142
"/media/guille/KINGSTON/GPacks/ZynkVM/docs/README.md", "Markdown", 0, 0, 0, 6, 0, 0, 5, 11
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/assembler/zasm.c", "C", 122, 0, 0, 0, 0, 15, 11, 148
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/assembler/zasm.h", "C++", 0, 14, 0, 0, 0, 17, 12, 43
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/assembler/zcommon.h", "C++", 0, 8, 0, 0, 0, 15, 3, 26
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/common/common.h", "C", 46, 0, 0, 0, 0, 15, 11, 72
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/core/chunk.c", "C", 42, 0, 0, 0, 0, 15, 9, 66
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/core/chunk.h", "C", 17, 0, 0, 0, 0, 15, 9, 41
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/core/core.h", "C++", 0, 13, 0, 0, 0, 15, 9, 37
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/core/debug.c", "C", 52, 0, 0, 0, 0, 16, 7, 75
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/core/debug.h", "C++", 0, 14, 0, 0, 0, 17, 5, 36
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/core/hash.c", "C", 84, 0, 0, 0, 0, 15, 9, 108
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/core/hash.h", "C++", 0, 24, 0, 0, 0, 15, 6, 45
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/core/map.c", "C", 117, 0, 0, 0, 0, 15, 4, 136
"/media/guille/KINGSTON/GPacks/ZynkVM/refactored/core/map.h", "C++", 0, 7, 0, 0, 0, 15, 5, 27
